,English,Chinese,SimplifiedChinese,Android 沒有用到的 (Y)
VIDEO_WHINED_TITLE,Camera_realTime_hornCat_right_en,Camera_realTime_hornCat_right_hk,Camera_realTime_hornCat_right,
VIDEO_BARK1_TITLE,Camera_realTime_hornDog_left_en,Camera_realTime_hornDog_left,Camera_realTime_hornDog_left,
VIDEO_BARK2_TITLE,Camera_realTime_hornDog_right_en,Camera_realTime_hornDog_right,Camera_realTime_hornDog_right,
VIDEO_GUILD_TITLE,Watch tutorial video?,觀看教學影片？,是否需要观看教学视频？,
VIDEO_SKIP_TITLE,Skip,略過,跳过,
VIDEO_WATCH_TITLE,Watch,觀看,观看,
VIDEO_EXIT_TITLE,Exit,離開,退出,
VIDEO_TIME_TITLE,You can adjust the position as well as the size of your selected sticker and put different stickers for different duration.,選擇貼圖後，可自行調整位置與大小，不同時間段可選擇不同貼圖,"选择贴图后,可自行调整位置与大小,不同时间段可选择不同贴图",
VIDEO_DURATION_TITLE,Sticker duration selected,已選擇貼圖持續時間,已选择贴图持续时间,
VIDEO_REEFFECT_BACK,Exit and reset effect?,離開後已加入的特效將會失消失,退出设置的特效将会失效,
VIDEO_AUTHOR_TITLE,"Camera, microphone and file access permissions needed in order to record O! Video",請開放相機、麥克風及相簿權限，否則短片功能將無法使用。,如果没有开启摄像头、麦克风及相册权限，摄像功能将无法使用。,
VODEO_AUTHORSUB_TITLE,Enable them now？,到設定開放權限？,是否前往设置开启？,
VIDEO_SWITCH_BUTTON,Switch,切換,翻转,
VIDEO_FLASH_BUTTON,Flash,閃光,闪光,
VIDEO_WIDGET_BUTTON,Widget,道具,道具,
VIDEO_UPLOAD_BUTTON,Upload,上傳,上传,
VIDEO_BGM_BUTTON,BGM,BGM,BGM,
VIDEO_EFFECT_BUTTON,Effects,特效,特效,
VIDEO_COVER_LABEL,Slide to choose a cover,左右移動選取框，選擇封面,左右移动选框，查看并选择封面,
VIDEO_BOOKMARKTIP_TITLE,Camera_icon_startip_en,Camera_icon_startip_hk,Camera_icon_startip_cn,
VIDEO_BOOKMARKTIP_LABEL,Tap To Bookmark,點擊可以收藏哦,点击可以收藏哦,
VIDEO_COVER_IMAGE,Choose thumbnail,選擇位置後查看封面圖片,选择位置后查看封面图片,
YPImagePickerAlbums,Albums,相簿,相册,
YPImagePickerCancel,Cancel,取消,取消,
YPImagePickerCover,Cover,封面,封面,
YPImagePickerCrop,Crop,裁剪,剪切,
YPImagePickerDone,Done,完成,完成,
YPImagePickerFilter,Filter,濾鏡,滤镜,
YPImagePickerLibrary,Library,圖片庫,图库,
YPImagePickerNext,Next,下一步,下一步,
YPImagePickerOk,Ok,好的,好的,
YPImagePickerPermissionDeniedPopupCancel,Cancel,取消,取消,
YPImagePickerPermissionDeniedPopupGrantPermission,Allow access,允許存取,允许访问,
YPImagePickerPermissionDeniedPopupMessage,Please allow access,請允許存取,请允许访问,
YPImagePickerPermissionDeniedPopupTitle,Access denied,拒絕存取,拒绝访问,
YPImagePickerPhoto,Photo,拍照,拍照,
YPImagePickerProcessing,Processing..,處理中...,处理中...,
YPImagePickerSave,Save,儲存,保存,
YPImagePickerTrim,Trim,剪輯,剪辑,
YPImagePickerVideo,Video,影片,视频,
YPImagePickerVideoDurationTitle,Video duration,影片長度,视频时长,
YPImagePickerVideoTooLong,Pick a video less than %@ seconds long,影片長度超出 %@ 秒,视频时长不可大于 %@ 秒,
YPImagePickerVideoTooShort,The video must be at least %@ seconds,影片長度不足 %@ 秒,视频时长不可小于 %@ 秒,
YPImagePickerWarningItemsLimit,Only %d photos or videos are allowed,最多可選 %d 幀相片或影片,图片或视频的最多可选数量为 %d,
OWOHCHAT_GROUP,Group Chat,發起群聊,发起群聊,
CHAT_CREAT_CON,Personal Chat,新建聊天,新建聊天,
GROUP_CHAT_FACEURL,Profile Photo,群頭像,群头像,
GROUP_CHAT_NAME,Group Name,群聊名稱,群聊名称,
GROUP_CHAT_INTRODUCT,Group Information,群簡介,群简介,
GROUP_CHAT_NOTIFI,Notice,群公告,群公告,
GROUP_CHAT_MEMBER,Member,群成員,群成员,
GROUP_CHAT_SEARCH_MESSAGE,Search History,搜索消息記錄,搜索消息记录,
GROUP_CHAT_CLEAR_MESSAGE,Clear History,清除消息記錄,清除消息记录,
GROUP_CHAT_MESSAGE_TOP,Top,消息置頂,消息置顶,
GROUP_CHAT_MANAGER_EXIT,Leave,解散群聊,解散群聊,
GROUP_CHAT_OWNER_EDIT,Edited,編輯於,编辑于,
GROUP_CHAT_LOAD_FAIL,Load fail... Can we try again?,加載失敗了，刷新再試試？,好尴尬…加载失败啦…,
GROUP_CHAT_NONE,Sorry..Can't find anthing related.,暫時沒有相關內容哦,咦…什么都搜索不到耶,
GROUP_CHAT_BLANK,What are you looking for?~ It's nothing here~,額...什麼也沒有哦,额…什么也没有,
GROUP_CHAT_FACEURL_ALERT,Only Manager Can Change Profile Photo,只有管​​理員可以更改群頭像,只有管理员可以更改群头像,
GROUP_CHAT_GROUPNAME_ALERT,Only Manager Can Change Group Name,只有管​​理員可以更改群名稱,只有管理员可以更改群名称,
GROUP_CHAT_EXITGROUP_ALERT,Are you sure to exit the current group?,是否確定退出當前群組,是否确定退出当前群组,
GROUP_CHAT_MESSAGE_NULL,"Input cannot be empty, please enter text",輸入不能為空，請輸入文字,输入不能为空，请输入文字,
GROUP_CHAT_IKNOW,I know,我知道,我知道了,
GROUP_CHAT_MESSAGE_RECIVE,Mute Notifications,靜音通知,消息免打扰,
GROUP_CHAT_EXIT,Leave,退出群聊,退出群聊,
GROUP_CHAT_PEOPLE,People,人,人,
GROUP_CHAT_NAME_PLACEHOLDER,Enter The Group Name,請輸入群聊名稱,请输入群聊名称,
GROUP_CHAT_INTRODUCT_PLACEHOLDER,Enter The Group Introduce,請輸入群簡介,请输入群简介,
GROUP_CHAT_NOTIFI_PLACEHOLDER,Enter The Group Notice,請編輯群公告...,请编辑群公告...,
GROUP_CHAT_NOTIFI_FAIL,Editing Fail. Please Check Your Network,更改群公告失敗，請檢查網絡,更改群公告失败，请检查网络,
GROUP_CHAT_FACEURL_CHANGE,Change Profile Photo,更換群頭像,更换群头像,
GROUP_CHAT_ALBUM,Album,相簿,相册,
GROUP_CHAT_CANCEL,Cancel,取消,取消,
GROUP_CHAT_DELETE_ALERT,Clear History?,是否確定清除本群所有歷史記錄？,是否确定清除本群所有历史记录？,
GROUP_CHAT_DELETE_TITLE,Clear History Success,刪除聊天記錄成功,删除聊天记录成功,
GROUP_CHAT_DELETE,Delete,確定,确定,
GROUP_CHAT_UPLOAD,Uploading,上傳中...,上传中,
GROUP_CHAT_CAMERA,Camera,相機,相机,
GTip_Invite,Invited,邀請了,邀请了 ,
GTip_Enter,Enter the chat,進入群聊,进入群聊,
GTip_Will,Will,將,将 ,
GTip_REMOVE,Remove from chat,移出群聊,移出群聊,
GTip_Quit,Your have been removed from this group,已經退出群聊,已经退出群聊,
GTip_URL,The group profile photo has changed,更換了群頭像,更换了群头像,
GTip_Name,The group name has changed,修改群名為,修改群名为,
GTip_Admin,The group's admin has changed,更換了群主,更换了群主,
GTip_Intro,The group's intro has changed,更換了群簡介,更换了群简介,
GTip_Pub,Change the group notice,更換了公告,更换了公告,
GTip_Hello,Hello all,大家好,大家好,
COMMON_CONTENT_EMPTY,Content cannot be empty,內容不可為空,内容不可为空,
SETTING_UPLOADIMAGE,Related images (Unneccessary),相關截圖(非必需),相关截图(非必需),
SETTING_FEEDBACK_CONTENT,Write your comment,請寫出您對我們的想法,请写出您对我们的想法,
SETTING_FEEDBACK_TITLE,Feedback,意見反饋,意見反馈,
SETTING_FEEDBACK_THANKS,Thank you for your feedback,非常感謝您對我們提出寶貴意見：,非常感谢您对我们提出宝贵意见：,
COMMON_BIRTHDAY_TITLE,Birthday,生日,生日,
PROFILE_SETTING_BIRTHDAY,Choose Birthday,點擊設置日期,点击设置日期,
SETTING_ACCOUNT_TITLE,Account Setting,賬號設置,账号设置,
SETTING_MESSAGE_TITLE,Message Setting,消息設置,消息设置,
SETTING_SYSTEM_TITLE,System Setting,系統設置,系统设置,
SETTING_PRIVACY_TITLE,Privacy Policy,隱私政策,隐私政策,
SETTING_AGREEMENT_TITLE,Service Agreement,用戶協議,用户协议,
PROFILE_GO_CREATPOST,Creat Post Now,馬上發佈,马上发布,
PROFILE_UNLOGIN_TITLE,I have no idea what you posted before.\nYou haven't login yet.,未登錄...\n不知道你發過什麼呢,没登录...\n我可不知道你发过啥,
PROFILE_MYPROFILE_TITLE,My Profile,我的檔案,我的档案,
PROFILE_NO_POST,Let's Post Something!!!,居然沒有發過貼文...,居然没发过贴子...,
PROFILE_UNFOLLOW_TITLE,Not Followed,未追蹤,未关注,
PROFILE_FOLLOW_TITLE,Followed,已追蹤,已关注,
PROFILE_NOFANS_SELF,Huh? You still not have any fans? Post something to attract them.,咦？你還沒有粉絲喔\n要不要發個文\n來吸引下新的粉絲？,咦？你还没有粉丝哦\n要不要发布个新贴子\n来吸引下新的粉丝？,
PROFILE_NOFANS_OTHER,Huh？Hello? Anyone here?,居然還沒有任何的\n粉絲,她居然还沒有任何的\n粉丝耶,
PROFILE_GO_CHATNOW,Chat Now,馬上聊天,马上聊天,
PROFILE_NOFOLLOW_OTHER,No Followings,她居然還沒有對\n任何人感興趣,她居然还沒有对\n任何人感兴趣,
PROFILE_NOFOLLOW_SELF,Follow Someone,你居然還沒有對\n任何人感興趣,你居然还沒有对\n任何人感兴趣,
PROFILE_SUGGEST_SELF,Suggest For You,為您推薦,为您推荐,
PROFILE_CANCEL_FOLLOW,Unfollow,取消追蹤,取消关注,
PROFILE_REGION_CHINA,Change to China version,切換至國內版本,切换至国内版本,
PROFILE_REGION_INTERNATIONAL,Change to International version,切換至國際版本,切换至国际版本,
PROFILE_REGION_CHANGE,Change version?,確定要切換版本？,确定要切换版本？,
SETTING_PHONEBOUND_PHONE,Phone bounded,已綁定手機號,已绑定手机号,
SETTING_PHONEBOUND_FULLPHONENUM,Enter full phone number,請輸入完整的手機號碼,请输入完整的手机号,
SETTING_PHONEBOUND_NEWPHONENUM,Enter new phone number,請輸入新手機號碼,请输入新手机号,
SETTING_BOUND_SUCCESS,Bound success,綁定成功,绑定成功,
OWOH_HOME_FOLLOW,Really? Interest in no one?,你居然還沒有對任何人感興趣,你居然还沒有对任何人感兴趣,
OWOH_HOME_TIPLOGIN,Hey Mate! \n You haven't logged in yet,朋友\n你還沒登錄呢,朋友\n你还沒有登录呢,
OWOH_HOME_TO_LOGIN,Login,馬上登陸,马上登录,
OWOH_HOME_TO_FOLLOW,Follow,去看看,去看看,
OWOH_HOME_HOT,Hot,最熱,最热,
OWOH_HOME_NEW,New,最新,最新,
OWOH_REMIND_TIP,Remind,預約提醒,预约提醒,
OWOH_REMIND_COUNT,Recorded,已記錄提醒,已记录提醒,
OWOH_CALANDER_MONTH1,Jan,1月,1月,
OWOH_CALANDER_MONTH2,Feb,2月,2月,
OWOH_CALANDER_MONTH3,Mar,3月,3月,
OWOH_CALANDER_MONTH4,Apr,4月,4月,
OWOH_CALANDER_MONTH5,May,5月,5月,
OWOH_CALANDER_MONTH6,Jun,6月,6月,
OWOH_CALANDER_MONTH7,Jul,7月,7月,
OWOH_CALANDER_MONTH8,Aug,8月,8月,
OWOH_CALANDER_MONTH9,Sep,9月,9月,
OWOH_CALANDER_MONTH10,Oct,10月,10月,
OWOH_CALANDER_MONTH11,Nov,11月,11月,
OWOH_CALANDER_MONTH12,Dec,12月,12月,
OWOH_LIKE_PERSON,Likers,讚好的人,赞过的人,
OWOH_LIKE_FOLLOWED,Followed,互相關注,互相关注,
OWOH_SEARCH_USER,User,用戶,用户,
OWOH_SEARCH_CIRCLE,Hashtag,話題,话题,
OWOH_SEARCH_RESULT,Result,相關結果,相关结果,
OWOH_SEARCH_RESULT_COUNT,All %,共%項,共%项,
OWOH_INPUT_REVERT,Reply:,回覆:,回复:,
OWOH_GROUP_ENTERGROUP,Join Group,加入群聊,加入群聊,
OWOH_GROUP_MUMBER,Join,人正在參與,人正在参与,
OWOH_GROUP_JOIN_TIP,Join Group?,是否要進入群聊,是否要进入群聊,
OWOH_GROUP_IMAGE_COUNT,,相關圖片共,,
UNIT_PIC,pics,張,張,
OWOH_DETAIL_COM_TIP,Comment must have text,評論內容不能為空,评论内容不能为空,
OWOH_DETAIL_COM_BLANK,no comment,還沒有人評論他的貼文,还没有人评论他的贴子,
OWOH_DETAIL_AND, and ,和,和,
OWOH_DETAIL_ETC, with ,等另外,等另外,
OWOH_DETAIL_MANCOUNT, others,個人,个人,
OWOH_DETAIL_SHOWMORE,Show More,展開查看更多,展开查看更多,
OWOH_DETAIL_HIDEPOST,Hide this Post,隱藏此貼,隐藏此贴,
OWOH_DETAIL_REPORT_SUC,Report Succeed,舉報成功,举报成功,
OWOH_DETAIL_DEL_SURE,Delete for sure?,確認刪除貼文？,确认删除贴子？,
OWOH_REMIDER_SUNDAY,Sunday,星期天,星期天,
OWOH_REMIDER_MONDAY,Monday,星期一,星期一,
OWOH_REMIDER_TUESDAY,Tuesday,星期二,星期二,
OWOH_REMIDER_WEDDAY,Wednesday,星期三,星期三,
OWOH_REMIDER_THURDAY,Thursday,星期四,星期四,
OWOH_REMIDER_FRIDAY,Friday,星期五,星期五,
OWOH_REMIDER_SATUDAY,Satausday,星期六,星期六,
OWOH_REMIDER_FOR_LABEL,Choose your label,別忘記選擇標籤,别忘记选择标签,
OWOH_REMIDER_FOR_TITLE,Enter title,別忘記輸入標題,别忘记输入标题,
OWOH_REMIDER_FOR_LOC,Enter location,別忘記輸入地點,别忘记输入地点,
OWOH_REMIDER_FOR_START,Enter Start date,別忘記選擇開始日期,别忘记选择开始日期,
OWOH_REMIDER_FOR_END,Enter End date,別忘記選擇結束日期,别忘记选择结束日期,
OWOH_REMIDER_INFO_TITLE,Reminder Info,預約提醒詳情,预约提醒详情,
OWOH_REMIDER_CRE_NONE,No pre,不提前,不提前,
OWOH_REMIDER_CRE_FIVE,5 min,5分鐘,5分钟,
OWOH_REMIDER_CRE_TEN,10 min,10分鐘,10分钟,
OWOH_REMIDER_CRE_FIFTH,15 min,15分鐘,15分钟,
OWOH_REMIDER_CRE_THRTH,30 min,30分鐘,30分钟,
OWOH_REMIDER_CRE_ONEH,1 hour,1小時,1小时,
OWOH_REMIDER_CRE_TWOH,2 hour,2小時,2小时,
OWOH_REMIDER_LABEL,label,標籤,标签,
OWOH_REMIDER_TITLE,title,標題,标题,
OWOH_REMIDER_LOC,location,地點,地点,
OWOH_REMIDER_ALLDAY,all-Day,全天,全天,
OWOH_REMIDER_START,start,開始,开始,
OWOH_REMIDER_END,end,結束,结束,
OWOH_REMIDER_PRE,pre,提前,提前,
OWOH_REMIDER_ALLDAY_TITLE,ALL-Day,全天日期,全天日期,
OWOH_REMIDER_PRE_TITLE,Pre-Notice,提前提醒,提前提醒,
OWOH_REMIDER_NOSEL,None,無,无,
OWOH_REMIDER_TIMETIP,Start date must earlier than End date,結束時間不能早於開始時間！,结束时间不能早于开始时间 ！,
OWOH_LOGIN_REMIND,Login now,馬上登錄,马上登录,
OWOH_LOGIN_REMIND_2,Hey you still haven't logged in yet,朋友 你還沒有登錄呢,朋友 你还没有登录呢,
SETTING_BIND_EMAIL_ERROR,Email error,兩次郵箱輸入不符,两次邮箱输入不符,
SETTING_BIND_EMAIL_REENTER,Reenter email,請再次輸入郵箱,请再次输入邮箱,
SETTING_BIND_EMAIL_ENTER,Enter email,請輸入郵箱,请输入邮箱,
SETTING_BIND_EMAIL,Bind email,綁定郵箱,绑定邮箱,
SETTING_BIND_PHONE,Enter phone number,請輸入手機號,请输入手机号,
SETTING_ACCOUNT,Account Setting,賬戶設置,账户设置,
SETTING_MESSAGE,Message Setting,消息設置,消息设置,
SETTING_PUSH,Notification,消息提示,消息推送,
SETTING_PUSH_SOUND,Sound,提示音,提示音,
SETTING_PUSH_VIBRATION,Vibration ,震動,震动,
SETTING_CLEAR_CACHE,Clear cache,清除緩存,清除缓存,
SETTING_LANGUAGE,Language setting,語言設置,语言设置,
SETTING_AUTOPLAY,Autoplay videos,自動播放視頻,自动播放视频,
SETTING_WIFI_DOWNLOAD,Download video with wifi,僅在WIFI下加載視頻,仅在WIFI下加载视频,
ACHIEVEMENT_UNLOCKED_TITLE,Unlocked prizes,已獲得的獎勵,已获得的奖励,
ACHIEVEMENT_MY_PRODUCT,My prizes,我的戰利品,我的战利品,
ACHIEVEMENT_PET_CLOTH,Pet outfits,寵物衣服,宠物衣服,
ACHIEVEMENT_COMING,"Enjoy playing the fun ""missions"", the rich ""upgrade reward"" and get the fancy ""prizes""!",這裡有趣味的“娛樂任務”、豐厚的“升級獎勵大賞”、花式的“戰利品獲取”，等你來玩！,这里有趣味的“娱乐任务”、丰厚的“升级奖励大赏”、花式的“战利品获取”，等你來玩！,
ACHIEVEMENT_VIEW_PRODUCT,View prizes,查看戰利品,查看战利品,
ACHIEVEMENT_CURRENT_LV,Current LV,當前等級,当前等级,
ACHIEVEMENT_TYPE_COMMENT,My Achievement,我的成就,我的成就,
ACHIEVEMENT_CLOTHES_TYPE_ALL,All,全部,全部,
ACHIEVEMENT_CLOTHES_TYPE_PERSON,Personal,主人,主人,
ACHIEVEMENT_CLOTHES_TYPE_PET,Pet,寵物,宠物,
keep_alive_tips_default,實時接受消息提醒，建議前往您手機的權限設置界面中打開自啓動和關聯啓動，否則應用關閉後是無法收到消息的,實時接受消息提醒，建議前往您手機的權限設置界面中打開自啓動和關聯啓動，否則應用關閉後是無法收到消息的,实时接收消息提醒，建议前往您手机的权限设置界面中打开自启动和关联启动，否则应用关闭后是无法收到消息的,
keep_alive_tips_vivo,實時接受消息提醒，建議前往【i管家-軟件管理-自啓動管理】中開啓喔噢的自啓動和關聯啓動，或將喔噢添加到加速白名單中,實時接受消息提醒，建議前往【i管家-軟件管理-自啓動管理】中開啓喔噢的自啓動和關聯啓動，或將喔噢添加到加速白名單中,实时接收消息提醒，建议前往【i管家-软件管理-自启动管理】中开启喔噢的自启动和关联启动，或将喔噢添加到加速白名单中,
keep_alive_tips_letv,實時接受消息提醒，建議前往【管家-更多-自啓動管理】中開啓喔噢的自啓動和關聯啓動,實時接受消息提醒，建議前往【管家-更多-自啓動管理】中開啓喔噢的自啓動和關聯啓動,实时接收消息提醒，建议前往【管家-更多-自启动管理】中开启喔噢的自启动和关联启动,
keep_alive_tips_samsung,實時接受消息提醒，建議前往【智能管理器-自動運行應用程序】中開啓喔噢的自啓動和關聯啓動,實時接受消息提醒，建議前往【智能管理器-自動運行應用程序】中開啓喔噢的自啓動和關聯啓動,实时接收消息提醒，建议前往【智能管理器-自动运行应用程序】中开启喔噢的自启动和关联启动,
keep_alive_tips_huawei,實時接受消息提醒，建議前往【手機管家-應用啓動管理】中開啓喔噢的自啓動和關聯啓動,實時接受消息提醒，建議前往【手機管家-應用啓動管理】中開啓喔噢的自啓動和關聯啓動,实时接收消息提醒，建议前往【手机管家-应用启动管理】中开启喔噢的自启动和关联启动,
turn_on_volume,Please turn on volume,請打開鈴聲,请打开铃声,
loading,Loading...,加載中,加载中,
CRRefreshHeaderIdleText,Pull down to refresh,拉下重新載入,下拉可以刷新,srl_header_pulling
CRRefreshHeaderPullingText,Release to refresh,鬆開立即重新載入,松开立即刷新,srl_header_release
CRRefreshHeaderRefreshingText,Loading...,正在重新載入數據中...,正在刷新数据中...,srl_header_refreshing
CRRefreshFooterIdleText,Loading more,拉上加載更多,上拉加載更多,srl_footer_pulling
CRRefreshFooterNoMoreText,No more data,沒有更多數據,没有更多数据,srl_footer_nothing
CRRefreshFooterRefreshingText,Loading...,正在加載更多數據...,正在加载更多的数据...,srl_footer_loading
HOME_MESSAGE_GROUPNODATA,You haven't join any group yet.. \nCheck is there have anything you interest in it..,你竟然沒有加入過圈子\n快去加入幾個感興趣的\n圈子吧,你竟然没有加入过圈子\n快去加入几个感兴趣的\n圈子吧,
HOME_MESSAGE_READALL,Read all the news,已讀所有通知,已读所有通知,
HOME_MESSAGE_LIVENODATA,Nothing new yet..,你還沒有動態哦,你还没有动态哦,
HOME_MESSAGE_NOTINODATA,Nothing new yet..,你還沒有通知哦,你还没有通知哦,
HOME_MESSAGE_REMINDERNODATA,"You don't have any reminder yet, go to creat one?",你還沒有添加過提醒哦\n快去添加看看吧,你还没有添加过提醒哦\n快去添加看看吧,
HOME_CREATPOST_SAYST,What is on your mind now?,你在想什麼？,想说什么？,Y
HOME_CREATPOST_SELECTROLE,Who is posting this?,誰在發佈貼文呢？,请点击选择一个身份发布贴文,
HOME_CREATPOST_IMAGELIMIT,At least one image or video,至少有一張圖片或視頻,至少有一张图片或视频,Y
HOME_CREATPOST_CONTENTLIMIT,Cannot not be empty,消息不可為空,消息不可为空,Y
HOME_CREATPOST_SEARCHTOPIC,Related topics,相關話題,相关话题,
HOME_CREATPOST_SEARCHUSER,Related users,相關用戶,相关用户,
GROUP_ALBUM_OPENALL,View all,查看所有,查看全部,
MESSAGE_NEW_MESSAGE,New message,最新消息,最新消息,
PROFILE_PET_LETSPLAY,Let's\nplay,給牠\n玩玩,给它\n玩玩,
ONLY_IMAGE,Only accept image files,只接受圖片檔案,只接受图片档案,
turn_on_flash,Trun on flash,請切換為後置鏡頭並開啟閃光燈,请切换为后置摄像头开启闪光灯,
refresh_suc,Refreshed,重新載入,刷新成功,
hour,Hour,小時,小时,
min,Mintues,分鐘,分钟,
sec,Second,秒,秒,
before,Before,前,前,
turn_on_save_setting,Turn on save setting,"你先前已在\""OwOh\""上停用相機及存儲權限。若要啟用此功能，請點擊下面\""應用程序設置\""啟用\""權限\""","你先前已在\""OwOh\""上停用相机及存储权限。若要启用此功能，请点击下面\""应用程序设置\""启用\""权限\""",
go_setting,Go setting,去設定,去设置,
to_be_continued,To be continued,待續,以后再说,
enter_psw,Please enter your password,請輸入密碼,请输入密码,
enter_psd_twice,Please enter your password again,請再次輸入密碼,请再次输入密码,
enter_phone_num,Please enter your mobile number,請輸入手機號碼,请输入手机号码,
login_with_phone,Log in with mobile number,手機號碼登錄,手机号码登录,
login_with_email,Log in with email,電子郵箱登錄,电子邮箱登录,
find_your_acc,Find your account,尋找你的帳戶,寻找你的帐户,
search_by_phone,Please enter your phone number to search account,請輸入你的手機號碼尋找帳戶,请输入你的手机号码以搜索帐户,
welcom_back_to_owoh,Welcom back to Owoh,歡迎回到Owoh ,欢迎回到Owoh,
pet_world,Pet's World,寵物世界！,宠物世界！,
phone_used,This phone number has been used,手機號碼已被註冊,手机号码已使用,
psw_must_be_the_same,Password has to be the same,密碼必須相同,密码必须相同,
can_not_rec_vcode,Can't recevied verification code,收不到驗證碼？,收不到验证码？,
vcode_wrong,verification code is wrong,驗證碼錯誤,验证码错误,
phone_not_be_used,This phone number hasn't been used,該手機號碼還未註冊過，點擊 <u><b>立即註冊</b></u>,该手机号码还未注册过，点击 <u><b>立即注册</b></u>,
revised_psw_too_often,Revised password too often,重設密碼太頻繁,重设密码太频繁,
revised_psw_has_been_sent_to_you,Revised password has been sent to your phone,重設密碼短訊已發送到你的手機,重设密码短信已发送到你的手机,
report_suc,Report successfully,舉報成功,举报成功,
report_failed,Report unsuccessfully,舉報失敗,举报失败,
fans,Fans,粉絲,粉丝,Y
logged_out,Logged out,成功登出,成功登出,
read_failed,Access failure,讀取數據失敗,读取数据失败,
login_failed,Failed to log in,登錄失敗,登录失败,
log_out_failed,Failed to log out,退出失敗,退出失败,
content,Content,內容,内容,
color,Color,顔色,顔色,
font,Font,字體,字体,
crop,Crop,裁剪,裁剪,
erase,Erase,擦掉,擦除,
make_sticker,Create Sticker,製作貼圖,制作贴图,
def,Default,預設,预设,
square,Square,正方形,正方形,
notif,Noticefication,提示,提示,
send,Sent,已傳送,发送,
records,Total .. record,共%1$d條記錄,共%1$d条记录,
CHAT_MSG_FACE,Emoji notice,[表情消息],[表情消息],
CHAT_MSG_IMAGE,Image notice,[圖片消息],[图片消息],
CHAT_MSG_AUDIO,Audio notice,[語音消息],[语音消息],
CHAT_MSG_VIDEO,Video notice,[視頻消息],[视频消息],
CHAT_MSG_UNKNOWN,Unknown notice,[未知消息類型],[未知消息类型],
go_chat,Go chatting,馬上聊天,马上去聊聊,
received_failed,Received date failure,數據獲取失敗,数据获取失败,
no_net,No data,沒有網絡,没有网络,
send_to,Send to:,發送給:,发送给:,
COMMENT_ON_FRI,Comment on friends,給朋友留言,给朋友留言,
ERASED_SUC,Erased ,清除成功！,清除成功！,
RE_SEND_SUC,Re-sended,轉發成功,转发成功,
RE_SEND_FAILED,Re-send failed,轉發失敗,转发失败,
RECORD_ERROR,"Can't record, Please try again",未能錄制語音，請重試,未能录制语音，请重试,
RECORD_ERROR_1,Recording limited to 1 mintues only,每段語音最長限制為1分鐘,每段语音最长限制为1分钟,
DEL_MSG,Delete message?,刪除訊息嗎？,删除消息吗？,
DEL_FOR_ME,Delete for me,為我刪除,为我删除,
RECALL_FAIED,Can't delete message,刪除訊息失敗,撤回消息失败,
RECALL_SUC,Deleted message Susscefully,已成功刪除訊息,已成功撤回消息,
GROUP_INFO,Group info,群組資訊,群组资讯,
SCREENING,Screening ,入群審核,入群审核,
NEW_CHAT,New Group Chat,新建群組,新建群聊,
SELECT_ERROR,Can't choose more than 10 people,單次選擇不能超過10人,单次选择不能超过10人,
MODIFI_SUC,Revised ,修改成功,修改成功,
MODIFI_FAILED,Revise failure,修改失敗,修改失败,
UPLOAD_HEAD_FAILED,Failed to upload image,上傳頭像失敗！,上传头像失败！,
COPY_PHONE,Phone number copied,已複制手機號碼：,已复制手机号码：,
COPY_EMAIL,Email copied,已複制郵件地址：,已复制邮件地址：,
COPY_LINK,Link copied,已複制網頁鏈接：,已复制网页链接：,
EDIT_GROUP_HEAD,Group icon can only edited by admin,只有管理員可以編輯群組頭像,只有管理员可以编辑群头像,
EDIT_GROUP_NOTI,Group bio can only edited by admin,只有管理員可以編輯群組簡介,只有管理员可以编辑群简介,
INVITE,Invite,邀請,邀请,
REMOVED_FROM_GROUP,you have been removed,被管理員請出群組,被管理员请出群聊,
CREAT_GROUP_TIP1,"You have joined the group, we have",你創建了群聊，群聊參與人還有：,你创建了群聊，群聊参与人还有：,
CREAT_GROUP_TIP2,People who joined the group:,群聊參與人還有：,群聊参与人还有：,
CHANGE_ADMIN,Changed group admin,更換了樓主,更换了群主,Y
CHANGE_BIO,Changed group bio,更換了群組公告,更换了群公告,
REMOVED_FROM_GROUP_AL,You have been removed,您已被移除群組,您已被请出群聊,
EXIT_GROUP_SUC,Leave group susscefully,成功退出群組！,退出群组成功！,
EXIT_GROUP_FAILED,Leave group unsusscefully,退出群組失敗！,退出群组失败！,
YOU,You ,你,你,
TOTAL,Total,共,共,
RESULTS,Results,條結果,条结果,
PER_WRITE,Permission needed,需要閱讀文件的存儲權限,需要阅读文件的存储权限,
SELECT_TIP2,Selete reached limit,選擇已到達上限,选择已到达上限,
SOFTWARE_NO_ALBUM,No photo software,沒有照片軟件,没有照片软件,
SOFTWARE_NO_AUDIO,No software to play audio,沒有可播放音頻的軟件,没有可播放音频的软件,
SOFTWARE_NO_VIDEO,No software to play audio,沒有可播放影片的軟件,没有可播放影片的软件,
ALL,All,全部,全部,
GROUP_INFO_SUC,Received group message unsusscefully,接收群組信息失敗,获取群组信息失败,
FAILED_TO_GET,Failed to get,接收失敗,获取失败,
FAILED_TO_SEARCH,Failed to search,搜索失敗,搜索失败,
FAILED_TO_CREAT_GROUP,Failed to create group,群組創建失敗,群组创建失败,
FAILED_TO_INVITE_MEMBER,Failed to invite member,邀請成員失敗,邀请成员失败,
DEL_SUC,Delete Successfully,刪除成功,删除成功,
DEL_FAILED,Failed to delete,刪除失敗,删除失败,
FILE_NO_FOUND,File not found,文件不存在,文件不存在,
