acquisition_of_precisionn_matching	More precise \n matching	獲取精準\n匹配	获取精准\n匹配
profile_nofans_other	Huh？Hello? Anyone here?	居然還沒有任何的\n粉絲	她居然还沒有任何的\n粉丝耶
profile_nofans_self	Huh? You still not have any fans? \n Post something to attract them.	咦？你還沒有粉絲喔\n要不要發個文\n來吸引下新的粉絲？	咦？你还没有粉丝哦\n要不要发布个新贴子\n来吸引下新的粉丝？
profile_nofollow_other	No Followings	Ta居然還沒有對\n任何人感興趣	Ta居然还沒有对\n任何人感兴趣
profile_nofollow_self	Follow Someone	你居然還沒有對\n任何人感興趣	你居然还沒有对\n任何人感兴趣
profile_region_china	Change to China version	切換至國內版本	切换至国内版本
profile_region_international	Change to International version	切換至國際版本	切换至国际版本
profile_setting_birthday	Choose Birthday	點擊設置日期	点击设置日期
profile_suggest_self	Suggest For You	為您推薦	为您推荐
profile_unlogin_title	I have no idea what you posted before.\nYou haven't login yet.	未登錄...\n不知道你發過什麼呢	没登录...\n我可不知道你发过啥
psw_must_be_the_same	Password has to be the same	密碼必須相同	密码必须相同
publish_hashtag	# Hashtag	# 話題	# 话题
raise_to_ta	Start Chat	快去撩Ta	快去撩Ta
re_send_failed	Re-send failed	轉發失敗	转发失败
re_send_suc	Re-sended	轉發成功	转发成功
read_failed	Access failure	讀取數據失敗	读取数据失败
read_finish_tip	Don't worry, master. \nToday we can only read %1$d items	主人別著急，\n今天只能看%1$d條	主人别着急，\n今天只能看%1$d条
recall_faied	Can't delete message	刪除訊息失敗	撤回消息失败
recall_suc	Deleted message Susscefully	已成功刪除訊息	已成功撤回消息
received_failed	Received date failure	數據獲取失敗	数据获取失败
recommend_users	Suggested User	推薦用戶	推荐用户
reconnect	Reconnect	重新連接	重新连接
record_error	Can't record, Please try again	未能錄制語音，請重試	未能录制语音，请重试
record_error_1	Recording limited to 1 mintues only	每段語音最長限制為1分鐘	每段语音最长限制为1分钟
records	Total .. record	共%1$d條記錄	共%1$d条记录
register_confirm_pw	Confirm Password	確認密碼	确认密码
register_error_email_format	Wrong email format	請輸入正確電郵地址	邮箱有误
register_error_empty_field	Please fill in all the required fields	所有空格必須填寫	须填所有空格
register_phone	Phone Number	手機號	手机号
register_success	Registration completed	註冊完成	注册完成
register_success_welcome_1	Welcome to OwOh world!	歡迎來到OwOh寵物世界！	欢迎来到OwOh宠物世界！
register_tnc	By clicking "Register", you agree to our terms, data processing policy and Cookie policy. You may receive our SMS notifications, which you may choose to opt out from it any time.	點擊「註冊」即表示同意我們的使用條款及數據使用政策。你可能會收到我們的電郵通知，而且可以隨時選擇停止接收。	点击「注册」代表您同意我们的使用条款和数据使用政策。您或会收到我们的电子邮件，而且可以随时选择停止接收。
related_user	Related user	相關用戶	相关用户
releasetocancel	Release to cancel	鬆開手指取消傳送	松开手指取消发送
releasetosend	Release to send	鬆開傳送	松开发送
remind_users	Remind users	添加好友	添加好友
removed_from_group	you have been removed	被管理員請出群組	被管理员请出群聊
removed_from_group_al	You have been removed	您已被移除群組	您已被请出群聊
report	Report	舉報	举报
report_failed	Report unsuccessfully	舉報失敗	举报失败
report_post	Report this post?	確定舉報貼文？	您确定要举报这条贴子吗
report_suc	Report successfully	舉報成功	举报成功
reported_pet_id_cannot_be_empty	Reported pet ID cannot be empty	舉報的寵物ID不能為空	举报的宠物ID不能为空
results	Results	條結果	条结果
retract	Retract	收起	收起
revised_psw_has_been_sent_to_you	Revised password has been sent to your phone	重設密碼短訊已發送到你的手機	重设密码短信已发送到你的手机
s_e_time_error2	EndTime can‘t be less than currentTime	結束時間不可小於當前時間	结束时间不得小于当前时间
s_e_time_error3	開始時間不得小於結束時間	開始時間不得小於結束時間	开始时间不得小于结束时间
s_e_time_error5	StartTime can‘t be less than endTime	請填入開始時間和結束時間	请填入开始时间和结束时间
s_e_time_error6	Time can‘t be less than currentTime	設置時間不得小於當前時間	设置时间不得小于当前时间
saturday	Saturday	週六	周六
save_changed_profile	Are you sure to save changed profile?	資料有修改是否保存資料	资料有修改是否保存资料
save_to_album	Save Photo	保存到相冊	保存到相冊
say_hello	Say hi~	打招呼	打招呼
sce_before	s	秒前	秒前
screening	Screening	入群審核	入群审核
search_event	Event	精彩活動	精彩活动
search_hash_tag	search topic	尋找話題...	搜索话题…
search_hashtag	HashTag	精彩話題	精彩话题
search_load_empty	Not found on this planet	在這個星球中找不到	在这个星球中找不到
search_load_error	Network is not available \n please check network settings	網絡不可用，請檢查網絡設置	网络不可用，请检查网络设置
search_record	Search Record	搜索記錄	搜索记录
search_result_count	results	個結果	个结果
search_result_item	Search result	搜尋結果	搜索结果
see_all_members	See all the members	查看全部群成員信息	查看全部群成员
select_error	Can't choose more than 10 people	單次選擇不能超過10人	单次选择不能超过10人
select_event_group	Choose activity groupChat	選擇活動群聊	选择活动群聊
select_event_topic	Select event topic	選擇活動話題	选择活动话题
select_image_max	Select up to %1$d image	最多選擇%1$d張圖片	最多选择%1$d张图片
send	Sent	已傳送	发送
send_again	Send again	再次發送	再次发送
send_code_title	Verification code send	驗證碼已發送到手機號	验证码已发送到手机号
send_event	Send Activity	發佈活動	发布活动
send_failed	Publishing failed	發佈失敗	發布失敗
send_msg	Send message	發訊息	聊天
send_suc	Post successfully	發佈成功	发布成功
send_success	send success	發送成功	发送成功
set_failed	Set failed	設定失敗	设置失败
set_private	Set private	設定私密	设置私密
set_public	Set public	設定公開	设置公开
set_successfully	Set successfully	設定成功	设置成功
setting_acc	Account Settings	賬戶設置	账户设置
setting_bind_email	Bind email	綁定郵箱	绑定邮箱
setting_bind_email_enter	Enter email	請輸入郵箱	请输入邮箱
setting_bind_email_error	Email error	兩次郵箱輸入不符	两次邮箱输入不符
setting_bind_email_reenter	Reenter email	請再次輸入郵箱	请再次输入邮箱
setting_change_pw	Change password	更改密碼	修改密码
setting_check_update_fail	Check for update failed, please try again	檢查更新失敗，請重試	检查更新失败，请重试
setting_check_update_unchange	Already the latest version!	已經是最新的版本啦！	已经是最新的版本啦！
setting_clear_cache	Clear cache	清除緩存	清除缓存
setting_feedback_content	Write your comment	請寫出您對我們的想法	请写出您对我们的想法
setting_feedback_thanks	Thank you for your feedback	非常感謝您對我們提出寶貴意見：	非常感谢您对我们提出宝贵意见：
setting_language	Language setting	語言設置	语言设置
setting_msg	Message Settings	消息設置	消息设置
setting_notification	Notice	通知	通知
setting_phonebind_phone	Phone bound	綁定手機號	绑定手机号
setting_phonebound_phone	Phone bounded	已綁定手機號	已绑定手机号
setting_push	Notification	消息提示	消息推送
setting_push_sound	Sound	提示音	提示音
setting_push_vibration	Vibration	震動	震动
setting_sys	System Settings	系統設置	系统设置
setting_uploadimage	Related images	相關截圖	相关截图
share	Share To	分享到	分享到
share_content_common_event_tip	OwOh Surprises Life	OwOh給生活一點驚喜	OwOh给生活一点惊喜
share_content_common_post_tip	Hey.. This post is very interesting..	這裡有個有趣的貼文，快過來圍觀	这里有个有趣的贴文，快过来围观
share_content_not_empty	Sharing content can't be empty	分享內容不能為空	分享内容不能为空
share_image_not_empty	Sharing image can't be empty	分享图片不能為空	分享图片不能为空
share_copy_link_success	Copy the link successfully	複製鏈接成功	复制链接成功
share_copylinks	CopyLinks	複製鏈接	复制链接
share_facebook	Facebook	Facebook	Facebook
share_generateposters	GeneratePosters	生成海報	生成海报
share_have_not_been_installed	have not been installed	未安裝	未安装
share_image_compression_fail	Shared image compression failed, please share again!	分享的圖片壓縮失敗，請重新分享！	分享的图片压缩失败，请重新分享!
share_in_station_forwarding	In station forwarding	站內轉發	站内转发
share_instagram	Instagram	Instagram	Instagram
share_loading_data_tip	Sharing data is being obtained, please wait !	正在獲取分享數據，請稍等！	正在获取分享数据，请稍等!
share_messenger	Messenger	Messenger	Messenger
share_owohpetfriend	OwohPetFriend	Owoh寵友	Owoh宠友
share_pet_type_cannot	The current pet breed is under construction	當前寵物品種正在建設中	当前宠物品种正在建设中
share_poster_url_cannot_be_null	Sharing poster URL address cannot be empty	分享海報url地址不能為空	分享海报url地址不能为空
share_qq	QQ	QQ	QQ
share_qzone	QZone	QQ空間	QQ空间
share_sinaweibo	SinaWeibo	微博	微博
share_telegram	Telegram	Telegram	Telegram
share_to_more_tip	Share it to you friends and get more matching chances~	分享相親卡給你的朋友互動\n 可以新增配對次數哦～	分享相亲卡给你的朋友互动\n 可以增加配对次数哦～
share_twitter	Twitter	Twitter	Twitter
share_wechat	Wechat	微信	微信
share_wechat_applet	Miniprogram	微信小程式	微信小程序
share_wechat_poster	Wechat poster	微信海報	微信海报
share_wechatmoments	Moments	朋友圈	朋友圈
share_wechatmoments_poster	Moments poster	朋友圈海報	朋友圈海报
share_whatsapp	WhatsApp	WhatsApp	WhatsApp
single_type_choose	Cannot select images and videos at the same time	不能同時選擇圖片與視頻	不能同时选择图片与视频
slideuptocancel	Slide up to cancel	手指向上滑取消傳送	手指上划取消发送
social_comment	Comment	留言	留言
social_comment_placeholder	What's on your mind?	你在想什麼？	您在想什么？
social_create_post	Publish	發佈	发布
social_create_post_add_topic_repeat	You have added this topic	你已添加該話題	你已添加此话题
social_create_post_error_no_attachment	Please attach at least one photo or video	請加入最少一張圖片或影片	请添加最少一张图片或视频
social_group	Group	圈子	圈子
social_home_page	Community	社區	社区
social_live	Status	動態	动态
social_mine	My Profile	我的檔案	我的档案
social_more	More	更多	更多
social_post_ad_match	Enter O-Cupid	進入喔比特	进入喔比特
social_reminder	Reminder	提醒	提醒
social_share	Share	分享	分享
social_shop_mall	Mall	商城	商城
square	Square	正方形	正方形
start_time	Start time	開始時間	开始时间
start_time_	Start time：	開始時間	开始时间：
sterilization	Sterilization：	絕育：	绝育：
sterilized	Neutered	已絕育	已绝育
sticker_create_fail	Create new sticker failed	未能新增貼圖	未能新增贴图
sticker_create_limit	30 stickers maximum	最多 30 張貼圖	最多 30 张贴图
sticker_create_pack_fail	Create new sticker package failed	未能新增貼圖包	未能新增贴图包
sticker_header_detail	Sticker Package	貼圖包	贴图包
str_month	%s Month	%s月	%s月
successful_matching	Match!!	成功配對	成功配对
sunday	Sunday	週日	周日
sure_send	Confirm to send	確認發佈	确认发布
tab_bar_item_4	Chat	聊天	聊天
tab_bar_item_extra_1	Sticker widget	貼圖製作	贴图生成
text_length_limit_warning	Over 500 words	超過500字	超过500字
thursday	Thursday	週四	周四
time_now	Just now	剛剛	刚刚
tip_circle	The dynamics you care about will appear here.\nRecommended some interesting people for you\nPay attention to them~	你關注人的動態會出現在這裏\n爲你推薦了一些有趣的人\n快關注TA們吧~	你关注人的动态会出现在这里\n为你推荐了一些有趣的人\n快关注TA们吧～
title_cant_null	Title not be null	標題不可為空	标题不可为空
to_be_audited	Auditing	稽核中	审核中
to_better_recommend_pets	To better recommend pets	為了更好的推薦寵物	为了更好的推荐宠物
topic	Topic	話題	话题
topic_i_join	My Join Topics	我參與的話題	我参与的话题
total_people	Total%1$dpeople	共%1$d人	共%1$d人
tuesday	Tuesday	週二	周二
turn_on_flash	Trun on flash	請切換為後置鏡頭並開啟閃光燈	请切换为后置摄像头开启闪光灯
turn_on_volume	Please turn on volume	請打開鈴聲	请打开铃声
unit_pic	pics	張	张
unlocking_matching_function	Unlock your pet matching now!	解鎖配對功能	解锁配对功能
unsterilized	Unneutered	未絕育	未绝育
unverified	(Unverified)	(未認證)	(未认证)
update_phone	update phone	修改手機號	修改手机号
upload_cover	Upload cover	上傳封面	上传封面
upload_failed	Failed to upload	上傳失敗	上传失败
upload_head_failed	Failed to upload image	上傳頭像失敗！	上传头像失败！
user_agreement	Service Agreement	用戶協議	用户协议
user_name_not_null_tip	name must not be empty	用戶名不能為空	用户名不能为空
user_not_binding_phone	You have not bounded your phone number yet.	你暫未綁定手機號，請先綁定	你暂未绑定手机号,请先绑定
user_not_login	user not login,please login first	用戶暫未登錄，請先登錄	用户暂未登录,请先登录
user_profile_blank	Blank profile	用户忘填喔	用户忘填咯
user_profile_bron_place	Region	地區：	地区：
user_profile_edit_info	Edit info	編輯個人資料	编辑个人资料
user_profile_edit_new_pw	New Password	新密碼	新密码
user_profile_fans	Fans	粉絲	粉丝
user_profile_follow	Follow	追蹤	关注
user_profile_image_1	Related images	相關照片	相关照片
user_profile_press_enter	Enter a nickname	點擊輸入暱稱	点击输入昵称
user_profile_set_region	Set Region	點擊設置地區	点击设置地区
user_profile_sex	Gender：	性別：	性别：
vcode_wrong	verification code is wrong	驗證碼錯誤	验证码错误
ver_info	Version Information	版本信息	版本信息
verification_code_enter	please enter	請輸入短訊驗證碼	请输入短信验证码
verification_code_request	Get SMS	獲取驗證碼	获取验证码
verification_resend	Resend	重發	重发
verification_resend_count	second(s) to resend	秒後重發	秒后重发
verification_subtitle	Verification code sent to your phone	驗證碼已發送到你的手機	我们已发送验证码到您的手机
verification_title	Verification	身份認證	身份认证
version_check_force_no	Quit Owoh	離開 Owoh	退出 OwOh
version_check_soft_title	New version available	發現新版本	发现新版本
video_cancel_title	Cancel	取消	取消
video_delete_title	Confirm to delete the previous O! video?	確認刪除上一段短片？	确定删除上一段视频？
video_error1	Video compression failed, Please try again later	視頻壓縮失敗，請稍後再試	视频压缩失败，请稍后再试
video_exit_title	Exit	離開	退出
video_flash_button	Flash	閃光	闪光
video_limit1	Video recording can't be less than 3s	視頻長度不可少於3秒	视频时长不可少于3秒
video_record_shot	O! Video too short. Please record again	影片時間過短，重新再拍過吧	视频太短啦,再拍一段吧
video_replay_back	O! Video will not be saved on clicking back, continue?	按返回後短片將不會儲存，確定返回？	退出后将不会保存，是否退出？
video_skip_title	Skip	略過	跳过
video_sure_title	Yes	確定	确定
video_switch_button	Switch	切換	翻转
video_tooshort_title	O! Video too short. Please record again	影片太短，重拍吧	视频太短了,再拍一段吧
video_upload_faild	Failed to Upload. Plesase check your connection	上傳失敗，請檢查網絡	上传失败,请检查网络
video_upload_success	Upload success	上傳成功	上传成功
wechat_install_warning	You have to install Wechat app first	你必須先安裝微信應用程式	你必须先安装微信应用程式
wednesday	Wednesday	週三	周三
whatsticker_approval	Publish	公開上架	公开上架
whatsticker_approval_desc	Submit your sticker pack for approval	通過審批後，即可公開分享你的貼圖	通过审批后，可公开分享你的贴图
whatsticker_author	Author	作者	作者
whatsticker_back_to_package	Back to my stickers	返回我的貼圖集	返回我的贴图集
whatsticker_clear_cache	Update Cache	更新	刷新
whatsticker_clear_cache_desc	Please wait 5-minutes for an updated version of your sticker pack after clicking "Refresh"	按下「更新」，五分鐘內會自動更新貼圖包	点击"刷新"，五分钟内自动刷新贴图包
whatsticker_copy_link	Copy link	複製連結	复制链接
whatsticker_create_pack_remind	By clicking "Create", no further amendment is allowed. Continue?	按下「新增」後，封面圖及貼圖包名稱將不能更改，是否繼續？	点击"添加"后，贴图包设置将不能修改，继续?
whatsticker_create_title	Add Sticker Package	新增貼圖包	新增贴图包
whatsticker_delete_min_3	3 stickers minimum	最少 3 張貼圖	最少 3 张贴图
whatsticker_delete_sticker	Delete Stickers	刪除貼圖	刪除贴图
whatsticker_masking_tab_3	Eraser	檫膠	擦除
whatsticker_masking_tab_4	Undo	復原	复原
whatsticker_name	Package Name	貼圖包名稱	贴图包名称
whatsticker_remind_message_1	Please validate all the information entered as there will be no undo	貼圖包設定不能更改，請確保資料正確	贴图包设置添加后将不能修改，请确保数据正确
whatsticker_share_message	Download link\n	下載連結\n	下载链接\n
whatsticker_share_min_3	Share 3 stickers or more	最少分享 3 張貼圖	最少分享 3 张贴图
whatsticker_share_to_wall	Share as an Owoh post	分享至 Owoh 帖文	转发到 OwOh 帖子
whatsticker_upload_thumnail	Upload Package Cover Image	上載封面圖	上传封面图
whole_country	All City	全國	全国
wrong_phone	Wrong phone number	電話號碼錯誤	电话号码错误
year_short	Y	年	年
years_before	y	年前	年前
you	You	你	你
you_like_each_other	You like each other!	你們互相喜歡了！	你们互相喜欢了！
ypimagepickercrop	Crop	裁剪	剪切
ypimagepickerphoto	Photo	拍照	拍照
--------album_class	All	全部	全部
--------album_class	Album	相册 	相册 
--------album_class	Video	視頻	视频
--------circle_list	HashTag	話題	话题
--------circle_list	Activity	活動	活动
--------circle_list	My	我的	我的
--------fans_follows_list	Fans	粉絲	粉丝
--------fans_follows_list	Follow	追蹤	关注
--------filters	Original	原始	原始
--------filters	Soft	軟化	软化
--------filters	B/W	黑白	黑白
--------filters	Classic	經典	经典
--------filters	Glamorous	華麗	华丽
--------filters	Lomo	復古	复古
--------filters	Elegent	優雅	优雅
--------filters	Movie	電影	电影
--------filters	Memory	回憶	回忆
--------filters	Yogurt	乳酪	优格
--------filters	Year	流年	流年
--------filters	Shine	發光	发光
--------filters	Mosaic	馬賽克	马赛克
--------group_edit_image	Clip	剪輯	剪辑
--------group_edit_image	Characters	文字	文字
--------group_edit_image	Filter	濾鏡	滤镜
--------group_edit_image	Sticker	貼圖	贴图
--------group_edit_image	Background	背景	背景
--------group_edit_image	Erase	擦除	擦除
--------group_tabs	Hot	熱門	热门
--------group_tabs	New	最新	最新
--------my_post_list	My	我的	我的
--------my_post_list	Like	喜歡	喜欢
--------other_post_list	Ta的	Ta的	Ta的
--------other_post_list	Like	喜歡	喜欢
--------search_list	User	用戶	用户
--------search_list	Topic	話題	话题
--------search_tab	Post	帖文	帖子
--------search_tab	Activity	活動	活动
--------search_tab	User	用戶	用户
--------search_tab	Group	圈子	圈子
str_subscribe	Subscribe	訂閱消息	订阅消息
matching_title	O-Cupid	喔比特	喔比特
matching_hint_limit	Out of likes! Today can only check %1$d pets	主人別著急，今天只能看%1$d條	主人别着急，今天只能看%1$d条
matching_hint_limit2	Out of likes! \nToday can only check  %1$d pets	主人別著急，\n今天只能看%1$d條	主人别着急，\n今天只能看%1$d条
matching_hint_limit3	Today can only check  %1$d pets	今天的%1$d條訊息已經看完	今天的%1$d条讯息已经看完
nearby_notify	You have %1$s events nearby	您的附近有%1$d條新動態	您的附近有%1$d条新动态
MATCHING_HINT_ADD	Add pets to view more cuties	添加寵物可以查看更多萌寵	添加宠物可以查看更多萌宠
MATCHING_HINT_SUPPLEMENT	Unlock now！ more precise, more fun	補充配對信息，解鎖配對	补充配对信息，解锁配对
ALL_NEARBY_USER	Look all your favorite friends	查看全部寵友	查看全部宠友
PET_BREED	Pet type	寵物品種	宠物品种
SORT	Sort by	排序	排序
MALE	Male	男	男
FEMALE	Female	女	女
DOG_CUTE	doggy	狗狗	狗狗
CAT_CUTE	Cats	貓貓	猫猫
RABBIT	Rabbit	兔子	兔子
LAST_ONLINE_DATE	Last online time	最近上線	最近上线
home	home	首頁	首页
msg	message	訊息	消息
serch_	search..	搜尋...	搜索...
journal_details	Journal Details	日誌詳情	日志详情
comment	comment	評論	评论
album_empty_video	No video	暫無視頻 	暂无视频
album_empty_all	Post your first log	發佈你的第一條日誌 	发布你的第一条日志
post_log	Post log	發佈日誌 	发布日志 
save_image_success	Save image success	保存圖片成功	保存图片成功
save_image_fail	Save image fail	保存圖片失败	保存图片失败
album_empty_image	No photo	暫無相册	暂无相册 
jurisdiction_open	public	公開	公开
jurisdiction_close	private	私有	私有
group_alum	Group album 	群相册 	群相册
album_empty_other	This person is a bit lazy\ndidn't post anything	Ta有點懶\n什麼都沒發佈哦 	Ta有点懒\n什么都没发布哦 
load_faild_post	This post failed to load or does not exist	 該貼文獲取失敗或不存在	该贴文获取失败或不存在
save	Save 	儲存	保存
disbanded_group	Disbanded group	解散群組 	解散群组
tip_disbanded_group	Are you sure to dissolve the group	是否確定解散群組 	是否确定解散群组
other_like_empty	This person is very cold\nand doesn't like any posts 	Ta很高冷\n沒任何喜歡的貼文	Ta很高冷\n没任何喜欢的贴文
disbanded_group_fail 	Failed to disband group	解散群組失敗	解散群组失败
disbanded_group_ok 	Group disbanded successfully	解散群組成功	解散群组成功
OWOH_SAMECITY_HASHSQUARE	Topic square	話題廣場	话题广场
OWOH_GROUP_ISJOIN	involved	已參與	已参与
OWOH_HOME_HOT_PRODUCT	Hot sale	熱賣商品	热卖商品
OWOH_SAMECITY_MYACTIVITY	My Event	我的活動	我的活动
OWOH_SAMECITY_JOINACTIVITY	Join	參與	参与
OWOH_SELECT_CITY_CURRENT	Current	當前選擇	当前选择
OWOH_SELECT_CITY_LOCATION_HISTORY	Location / History visit	定位/歷史訪問	定位/历史访问
OWOH_SELECT_CITY_HOT	#Hot	#熱門城市	#热门城市
see_more	click to see more	點擊產看更多	点击查看更多
PUSH_CHOSE_ROLE	Choose a publishing role	選擇發布角色	选择发布角色
my_album	My album	我的相册 	我的相册
who_album	%s's album	%s的相册 	%s的相册
ssl_ask	SSL authentication failed. Do you want to continue?	SSL認證失敗，是否繼續訪問？	SSL认证失败，是否继续访问？
like_tip1	like	讚好	点赞
like_tip2	with %1$d people like	和%1$d人讚好	和%1$d人点赞
edit_group_name	Edit group name	編輯群名稱	编辑群名称
edit_group_profile	Edit group profile	編輯群簡介 	编辑群简介
edit_group_announce	Edit group announcement 	編輯群公告 	编辑群公告
edit_about_group	Please write about editing group 	請寫編輯群簡介 	请写编辑群简介 
eidit_gourp_annou_tip	Please write edit group announcement	請寫編輯群公告	请写编辑群公告
edit_group_name_tip	Please write and edit group name 	請寫編輯群名稱 	请写编辑群名称
article_detail	Article detail	文章詳情	文章详情
HOME_PETNEWS	Pet Info	寵物資訊	宠物资讯
home_page0	Home	首頁	首页
home_page1	Mall	商城	商城
home_page2	Msg	訊息	消息
home_page3	My	我的	我的
hide	hide	隱藏	隐藏
show	show	顯示	显示
no_new_friends	No new friends	暫無新朋友	暂无新的朋友
new_friends	New friends	新的朋友	新的朋友
read_all_faild	Read all failures	已讀所有失敗	已读所有失败
guide_content_first_CN	尋 找 寵 物 樂 園 的 神 器	尋 找 寵 物 樂 園 的 神 器	寻 找 宠 物 乐 园 的 神 器
guide_content_fourth_CN	低 價 找 到 適 合 愛 寵 的 好 物	低 價 找 到 適 合 愛 寵 的 好 物	低 价 找 到 适 合 爱 宠 的 好 物
guide_content_second_CN	讓 愛 寵 們 覓 得 良 緣	讓 愛 寵 們 覓 得 良 緣	让 爱 宠 们 觅 得 良 缘
guide_content_third_CN	有 趣 的 靈 魂 在 這 裡 等 你	有 趣 的 靈 魂 在 這 裡 等 你	有 趣 的 灵 魂 在 这 里 等 你
guide_title_first_CN	寵 物 社 交	寵 物 社 交	宠 物 社 交
guide_title_fourth_CN	O ! 商 城	O ! 商 城	O  !  商 城
guide_title_second_CN	喔 比 特	喔 比 特	喔 比 特
guide_title_start_CN	開始體驗	開始體驗	开始体验
guide_title_third_CN	同 城 玩 樂	同 城 玩 樂	同 城 玩 乐
other_device_login	The user was logged in on other device, do you want to enable the chat?	此用戶有其他手機登錄，需要重開啟用聊天功能嗎？	此用户有其他手机登录，需要重开启用聊天功能吗？
OWOH_SAMECITY_DISABLED	Active activity has been disabled	當前活動已被禁用	当前活动已被禁用
official_download	Official download > 	官方下載 >  	官方下载 > 
share_url_is_empty	Share url can't be empty	分享url連結不能為空	分享url链接不能为空
share_post_is_private	This post is private, please share it publicly	該貼文為私密狀態，請設為公開後分享	该贴文为私密状态，请设为公开后分享
set_as_public	Set as public	設為公開	设为公开
must_agress_tips	Agree to terms, data processing policy and Cookie policy	同意使用條款及數據使用政策	同意使用条款及数据使用政策
must_agress_warning	You must agree to our terms, data processing policy and Cookie policy	閣下須同意我們的使用條款及數據使用政策	您要同意我们的使用条款和数据使用政策
click_upload_cover	Click to upload cover	點擊上傳封面	点击上传封面 
event_info	Event information：	活動信息：	活动信息
event_title	Event title：	活動標題：	活动标题：
event_address	Event address：	活動地址：	活动地址：
event_content	Event content：	活動內容：	活动内容：
pet_types	Pet types：	寵物種類：	宠物种类：
num_people	Number of people：	活動人數：	活动人数：
activity_time	Event time：	活動時間	活动时间
select_pet_type	Select pet type	選擇寵物種類	选择宠物种类
to_filled	To be filled	待填寫	待填写
unlimited_0	0 means unlimited	0表示不限人數	0表示不限人数
set_event_time	Set event time	設置活動時間	设置活动时间
input_event_title	Please enter event title	請輸入活動標題	请输入活动标题
select_region	Select region	選擇地區	选择地区
already_filled	Already filled	已填寫	已填写
offline	Offline	線下	线下
on_line	On-line	線上	线上
please_select_region	Please select the region	請選擇地區	请选择地区
event_form	Event form	活動形式	活动形式
not_save_retrun	Content will not be saved after return	返回後內容將不會保存	返回后内容将不会保存
return_back 	Quit	返回	返回 
continue_editing	Continue editing	繼續編輯	继续编辑
login_by_account	Account or Email Login	賬號或郵箱登錄	账号或邮箱登录
login_by_otp	Verification code login	驗證碼登錄	验证码登录
agree_tnc	Agree user agreement and privacy policy	同意用戶協議及隱私政策	同意用户协议及隐私政策
warning_account	Account / password is wrong, please re-enter	賬號/密碼有誤,請重新輸入	账号/密码有误，请重新输入
warning_otp	Incorrect verification code, please re-enter	驗證碼有誤,請重新輸入	验证码有误,请重新输入
hint_login_account	Phone / email	請輸入手機號/郵箱	请输入手机号/邮箱
set_password	Set password	設置密碼	设置密码
warning_same_pw	The passwords entered twice are inconsistent	兩次輸入密碼不一致	两次输入密码不一致
hint_login_otp	Verification code	請輸入驗證碼	请输入验证码
please_fill_content	Please fill in the content	請填寫內容	请填写内容
please_fill_title	Please fill in the title	請填寫標題	请填写标题
please_fill_address	Please fill in the address	請填寫地址	请填写地址
select_event_type	Select event type	選擇活動種類	选择活动种类
hint_login_pw	Password	請輸入密碼	请输入密码
hint_login_phone	Phone	請輸入手機號	请输入手机号
event_title_	Event title	活動標題	活动标题
event_address_	Event address	活動地址	活动地址
select_from_album	Select from album	從相冊中選擇	从相册中选择
event_cost	Event cost (yuan / person)：	活動費用(元/人)：	活动费用(元/人)：
event_cost_free	0 means free	0表示免費	0表示免费
fill_num_people	Please enter the number of people	請輸入活動人數	请输入活动人数
fill_event_cost	Please enter event cost	請輸入活動費用	请输入活动费用
select_pet_tip	Please select a pet type	請選擇寵物種類	请选择宠物种类
please_select_topic	Please select event topic	請選擇活動話題	请选择活动话题
event_content_	Event content：	活動內容	活动内容
no_my_event	No any event	沒有發佈任何活動	没有发布任何活动
warning_enter_complete	Please enter complete information	請輸入完整信息	请输入完整信息
preview	Preview	預覽	预览
recomm_for_u	Recommended for you	爲你推薦	为你推荐
etc2	etc %1$s person	等%1$s人	等%1$s人参与
join_now	Join now	立即參與	立即参与
no2	NO.%1$s	NO.%1$s	NO.%1$s
my_event_tips2	Not join any event	沒有參加任何活動	没有参加任何活动
tips_del_member	Sure to del them? It's irreversible	確定刪除選中成員嗎？刪除后不可恢復	确定删除选中成员吗？删除后不可恢复
cancel_event	Event cancel	活動取消	活动取消
ReEdit	Edit	重新編輯	重新编辑
Check_reason	Check reason	查看原因	查看原因
its_event	Ta's event	Ta的活動	Ta的活动
--------event_detail	event	活動	活动
--------event_detail	content	內容	内容
--------event_detail	posts	帖文	帖子
No_limit	No limit	不限	不限
cost_per	%1$syuan/person	%1$s元/人	%1$s元/人
cost_free	￥ free	￥ 免費	￥ 免费
online_event	Online event	綫上活動	线上活动
offline_event	Offline event	綫下活動	线下活动
